Model,Dataset,Train_Size,Seed,Best_Epoch,Train_F1,Val_Loss,Val_Acc,Val_F1,Overfit_Gap,Test_Acc,Test_F1,Maj_Baseline_Acc,Rand_Baseline_F1
QNLP,bach,10,2026,9,1.0,0.5574218782037497,0.7,0.7058823529411765,0.2941176470588235,0.59,0.68,0.52,0.5098039215686274
QNLP,synthetic,10,42,46,1.0,0.9498787997712498,0.68,0.5294117647058824,0.47058823529411764,0.62,0.6,0.56,0.5283018867924528
QNLP,synthetic,100,42,90,0.7457627118644068,0.485192014798522,0.78,0.7755102040816326,-0.029747492217225835,0.74,0.82,0.6,0.5454545454545454
QNLP,synthetic,500,2026,96,0.8930817610062893,0.041132539637619626,1.0,1.0,-0.10691823899371067,0.93,0.94,0.55,0.5238095238095238
QNLP,sst2,100,2026,39,0.9701492537313433,1.240023860684596,0.52,0.5555555555555556,0.41459369817578773,0.47,0.5,0.6,0.5454545454545454
QNLP,sst2,10,2026,61,1.0,1.6196262684836984,0.44,0.36363636363636365,0.6363636363636364,0.46,0.54,0.7,0.5833333333333334
QNLP,synthetic,50,2026,88,0.8787878787878788,0.515774836242199,0.76,0.8181818181818181,0.06060606060606066,0.8,0.85,0.55,0.5238095238095238
QNLP,synthetic,100,42,77,1.0,2.2433928246190504e-08,1.0,1.0,0.0,1.0,1.0,0.6,0.5454545454545454
QNLP,bach,100,42,60,0.7130434782608696,0.5595166774839163,0.7,0.7540983606557378,-0.04105488239486821,0.51,0.64,0.58,0.537037037037037
QNLP,bach,10,42,48,1.0,1.0102652531198693,0.58,0.5333333333333333,0.4666666666666667,0.44,0.46,0.52,0.5098039215686274
QNLP,synthetic,250,42,88,0.891566265060241,0.18291003064019606,0.88,0.8333333333333333,0.05823293172690769,1.0,1.0,0.55,0.5238095238095238
QNLP,synthetic,500,42,77,1.0,8.95514878038739e-07,1.0,1.0,0.0,1.0,1.0,0.56,0.5283018867924528
QNLP,synthetic,10,100,2,0.5714285714285715,0.657482470870018,0.62,0.5957446808510638,-0.024316109422492294,0.58,0.69,0.52,0.5098039215686274
QNLP,sst2,250,42,8,0.8791208791208791,1.3620081363288046,0.52,0.5199999999999999,0.3591208791208792,0.52,0.54,0.53,0.5145631067961165
QNLP,sst2,250,100,1,0.4088888888888889,1.133061323369584,0.56,0.5416666666666667,-0.13277777777777783,0.48,0.49,0.55,0.5238095238095238
QNLP,synthetic,500,2026,31,1.0,4.481412020140851e-08,1.0,1.0,0.0,1.0,1.0,0.55,0.5238095238095238
QNLP,synthetic,10,100,3,0.25,0.7734941061213613,0.58,0.43243243243243246,-0.18243243243243246,0.5,0.6,0.52,0.5098039215686274
QNLP,sst2,50,42,13,0.9056603773584906,0.4272127985954285,1.0,1.0,-0.09433962264150941,0.5,0.67,0.7,0.37499999999999994
QNLP,synthetic,50,42,97,0.8163265306122449,0.3722051061689854,0.8,0.8,0.01632653061224487,1.0,1.0,0.5,0.5
QNLP,sst2,50,42,55,1.0,0.4693376123905182,0.7,0.6666666666666665,0.3333333333333335,0.0,0.0,0.7,0.37499999999999994
QNLP,synthetic,50,42,63,1.0,0.00801398732837697,1.0,1.0,0.0,0.0,0.0,0.5,0.5
QNLP,sst2,50,42,2,0.6333333333333333,0.5894535365700722,0.6,0.6551724137931033,-0.02183908045977001,0.59,0.7,0.56,0.5283018867924528
QNLP,bach,100,2026,70,0.54320987654321,1.0514963865978644,0.6,0.6,-0.05679012345679002,0.71,0.7,0.51,0.494949494949495
QNLP,bach,10,100,10,0.888888888888889,0.8410976652847603,0.6,0.4444444444444445,0.4444444444444445,0.65,0.63,0.54,0.5192307692307693
QNLP,sst2,100,100,13,0.9411764705882353,1.0890492064505815,0.48,0.4583333333333333,0.48284313725490197,0.44,0.48,0.58,0.537037037037037
QNLP,bach,100,42,84,0.7647058823529413,0.6073710963454984,0.7,0.7169811320754716,0.047724750277469696,0.6,0.57,0.58,0.537037037037037
QNLP,sst2,100,2026,25,0.962962962962963,0.8073622683342546,0.52,0.625,0.337962962962963,0.59,0.71,0.6,0.5454545454545454
QNLP,sst2,250,100,15,0.9059233449477351,0.7019481255859137,0.6,0.6153846153846153,0.29053872956311977,0.47,0.6,0.55,0.5238095238095238
QNLP,sst2,50,42,8,0.9666666666666666,1.3639139323774725,0.42,0.3829787234042553,0.5836879432624112,0.61,0.62,0.56,0.5283018867924528
QNLP,sst2,500,100,82,0.9546218487394958,0.7303714015707373,0.6,0.696969696969697,0.25765215176979883,0.57,0.71,0.64,0.5614035087719298
QNLP,synthetic,100,2026,74,0.9649122807017544,0.3044060397148132,0.98,0.9836065573770492,-0.018694276675294774,1.0,1.0,0.5,0.5
